cf,70.0
2.049999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.149999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.299999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.549999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.649999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.049999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.149999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.299999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.549999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.649999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.850000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.950000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.049999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.150000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.349999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.549999999999999822e+00,-8.859872861564242165e-13,0.000000000000000000e+00
4.599999999999999645e+00,-5.083073057496441807e-11,0.000000000000000000e+00
4.650000000000000355e+00,1.369964924922567427e-10,0.000000000000000000e+00
4.700000000000000178e+00,1.288111060938833842e-09,0.000000000000000000e+00
4.750000000000000000e+00,-5.842240029178358819e-10,0.000000000000000000e+00
4.799999999999999822e+00,-5.574557602313261755e-09,0.000000000000000000e+00
4.849999999999999645e+00,-4.137437246285858636e-09,0.000000000000000000e+00
4.900000000000000355e+00,1.398001158015458434e-08,0.000000000000000000e+00
4.950000000000000178e+00,2.147646999684327444e-08,0.000000000000000000e+00
5.000000000000000000e+00,-1.177096223291158876e-08,0.000000000000000000e+00
5.049999999999999822e+00,-4.996884495311191800e-08,0.000000000000000000e+00
5.099999999999999645e+00,6.183985679112100083e-08,0.000000000000000000e+00
5.150000000000000355e+00,-3.360737616936376120e-07,0.000000000000000000e+00
5.200000000000000178e+00,-2.065258733364553731e-06,0.000000000000000000e+00
5.250000000000000000e+00,-6.746147541170473177e-08,0.000000000000000000e+00
5.299999999999999822e+00,1.075476829827224731e-05,0.000000000000000000e+00
5.349999999999999645e+00,1.248689133672771370e-05,0.000000000000000000e+00
5.400000000000000355e+00,-2.105968359449211485e-05,0.000000000000000000e+00
5.450000000000000178e+00,-5.489999237079716771e-05,0.000000000000000000e+00
5.500000000000000000e+00,-2.125298728872498302e-07,0.000000000000000000e+00
5.549999999999999822e+00,1.218180133764545578e-04,0.000000000000000000e+00
5.599999999999999645e+00,1.066263690067125613e-04,0.000000000000000000e+00
5.650000000000000355e+00,-1.457025106915722237e-04,0.000000000000000000e+00
5.700000000000000178e+00,-3.166043825008809645e-04,0.000000000000000000e+00
5.750000000000000000e+00,-5.059113279122910171e-07,0.000000000000000000e+00
5.799999999999999822e+00,5.347124718515273729e-04,0.000000000000000000e+00
5.849999999999999645e+00,4.196539222184162451e-04,0.000000000000000000e+00
5.900000000000000355e+00,-5.231966898587972264e-04,0.000000000000000000e+00
5.950000000000000178e+00,-1.046207059444928533e-03,0.000000000000000000e+00
6.000000000000000000e+00,-9.973454969333405628e-07,0.000000000000000000e+00
6.049999999999999822e+00,1.540344256858342887e-03,0.000000000000000000e+00
6.099999999999999645e+00,1.139915184479369306e-03,0.000000000000000000e+00
6.150000000000000355e+00,-1.349377469792444658e-03,0.000000000000000000e+00
6.200000000000000178e+00,-2.571223562531293333e-03,0.000000000000000000e+00
6.250000000000000000e+00,-1.711646805027973589e-06,0.000000000000000000e+00
6.299999999999999822e+00,3.482266076478263746e-03,0.000000000000000000e+00
6.349999999999999645e+00,2.483061241417258962e-03,0.000000000000000000e+00
6.400000000000000355e+00,-2.842051942043008223e-03,0.000000000000000000e+00
6.450000000000000178e+00,-5.245724774618358392e-03,0.000000000000000000e+00
6.500000000000000000e+00,-2.643890309359728648e-06,0.000000000000000000e+00
6.549999999999999822e+00,6.712116638047048098e-03,0.000000000000000000e+00
6.599999999999999645e+00,4.663863234361698314e-03,0.000000000000000000e+00
6.650000000000000355e+00,-5.212293528029909515e-03,0.000000000000000000e+00
6.700000000000000178e+00,-9.403233376970118740e-03,0.000000000000000000e+00
6.750000000000000000e+00,-3.758290540056165133e-06,0.000000000000000000e+00
6.799999999999999822e+00,1.154180849509310949e-02,0.000000000000000000e+00
6.849999999999999645e+00,7.866630675855197652e-03,0.000000000000000000e+00
6.900000000000000355e+00,-8.634952626411271370e-03,0.000000000000000000e+00
6.950000000000000178e+00,-1.530936404403195061e-02,0.000000000000000000e+00
7.000000000000000000e+00,-4.990338478962133212e-06,0.000000000000000000e+00
7.049999999999999822e+00,1.819747710887969355e-02,0.000000000000000000e+00
7.099999999999999645e+00,1.221734230918868069e-02,0.000000000000000000e+00
7.150000000000000355e+00,-1.322148994661704637e-02,0.000000000000000000e+00
7.200000000000000178e+00,-2.311920971711979925e-02,0.000000000000000000e+00
7.250000000000000000e+00,-6.252021039472668319e-06,0.000000000000000000e+00
7.299999999999999822e+00,2.678008514616231003e-02,0.000000000000000000e+00
7.349999999999999645e+00,1.776046203631129194e-02,0.000000000000000000e+00
